Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.01.2024 00:00;01.01.2024 00:15;2.281,00;2.399,00;118,00;59,25
01.01.2024 00:15;01.01.2024 00:30;2.255,50;2.374,00;118,50;81,25
01.01.2024 00:30;01.01.2024 00:45;2.230,25;2.386,75;156,50;69,50
01.01.2024 00:45;01.01.2024 01:00;2.197,00;2.371,50;174,50;14,75
01.01.2024 01:00;01.01.2024 01:15;2.190,00;2.364,00;174,00;27,00
01.01.2024 01:15;01.01.2024 01:30;2.163,25;2.342,50;179,25;-19,50
01.01.2024 01:30;01.01.2024 01:45;2.133,00;2.308,25;175,25;25,50
01.01.2024 01:45;01.01.2024 02:00;2.114,25;2.292,50;178,25;-15,25
01.01.2024 02:00;01.01.2024 02:15;2.116,50;2.373,75;257,25;1,75
01.01.2024 02:15;01.01.2024 02:30;2.105,75;2.363,25;257,50;-21,25
01.01.2024 02:30;01.01.2024 02:45;2.075,50;2.333,00;257,50;-101,25
01.01.2024 02:45;01.01.2024 03:00;2.057,25;2.314,50;257,25;-125,75
01.01.2024 03:00;01.01.2024 03:15;2.049,50;2.306,75;257,25;-103,00
01.01.2024 03:15;01.01.2024 03:30;2.026,25;2.284,00;257,75;-80,75
01.01.2024 03:30;01.01.2024 03:45;2.023,50;2.281,25;257,75;-58,50
01.01.2024 03:45;01.01.2024 04:00;2.031,50;2.291,00;259,50;-48,00
01.01.2024 04:00;01.01.2024 04:15;2.035,75;2.344,00;308,25;-72,50
01.01.2024 04:15;01.01.2024 04:30;2.026,75;2.334,25;307,50;-107,00
01.01.2024 04:30;01.01.2024 04:45;2.027,00;2.334,25;307,25;-92,00
01.01.2024 04:45;01.01.2024 05:00;2.018,75;2.328,25;309,50;-45,75
01.01.2024 05:00;01.01.2024 05:15;2.025,50;2.398,00;372,50;2,00
01.01.2024 05:15;01.01.2024 05:30;2.008,00;2.380,50;372,50;22,50
01.01.2024 05:30;01.01.2024 05:45;1.983,50;2.355,50;372,00;50,25
01.01.2024 05:45;01.01.2024 06:00;1.965,50;2.337,25;371,75;41,00
01.01.2024 06:00;01.01.2024 06:15;1.957,75;2.329,00;371,25;5,75
01.01.2024 06:15;01.01.2024 06:30;1.953,75;2.325,00;371,25;47,00
01.01.2024 06:30;01.01.2024 06:45;1.942,75;2.313,50;370,75;94,50
01.01.2024 06:45;01.01.2024 07:00;1.947,25;2.317,50;370,25;100,75
01.01.2024 07:00;01.01.2024 07:15;1.966,50;2.224,75;258,25;103,50
01.01.2024 07:15;01.01.2024 07:30;1.977,75;2.222,00;244,25;116,75
01.01.2024 07:30;01.01.2024 07:45;1.991,00;2.226,25;235,25;113,50
01.01.2024 07:45;01.01.2024 08:00;1.997,00;2.236,00;239,00;94,75
01.01.2024 08:00;01.01.2024 08:15;2.013,25;2.285,00;271,75;34,00
01.01.2024 08:15;01.01.2024 08:30;2.006,25;2.317,00;310,75;28,50
01.01.2024 08:30;01.01.2024 08:45;2.019,00;2.343,75;324,75;3,25
01.01.2024 08:45;01.01.2024 09:00;2.044,25;2.432,25;388,00;-19,25
01.01.2024 09:00;01.01.2024 09:15;2.076,50;2.511,75;435,25;-33,00
01.01.2024 09:15;01.01.2024 09:30;2.100,25;2.538,75;438,50;-78,25
01.01.2024 09:30;01.01.2024 09:45;2.124,75;2.624,25;499,50;-100,50
01.01.2024 09:45;01.01.2024 10:00;2.148,00;2.647,00;499,00;-110,25
01.01.2024 10:00;01.01.2024 10:15;2.176,25;2.673,50;497,25;-101,50
01.01.2024 10:15;01.01.2024 10:30;2.218,25;2.672,00;453,75;-95,25
01.01.2024 10:30;01.01.2024 10:45;2.239,50;2.672,75;433,25;-116,00
01.01.2024 10:45;01.01.2024 11:00;2.269,75;2.642,00;372,25;-87,25
01.01.2024 11:00;01.01.2024 11:15;2.302,75;2.671,25;368,50;-11,00
01.01.2024 11:15;01.01.2024 11:30;2.337,25;2.705,25;368,00;-22,75
01.01.2024 11:30;01.01.2024 11:45;2.372,25;2.740,00;367,75;-17,50
01.01.2024 11:45;01.01.2024 12:00;2.379,50;2.746,75;367,25;5,25
01.01.2024 12:00;01.01.2024 12:15;2.371,50;2.690,25;318,75;4,50
01.01.2024 12:15;01.01.2024 12:30;2.376,25;2.693,75;317,50;55,25
01.01.2024 12:30;01.01.2024 12:45;2.375,00;2.736,75;361,75;46,50
01.01.2024 12:45;01.01.2024 13:00;2.358,75;2.722,50;363,75;5,00
01.01.2024 13:00;01.01.2024 13:15;2.349,75;2.712,75;363,00;33,50
01.01.2024 13:15;01.01.2024 13:30;2.332,00;2.694,50;362,50;109,75
01.01.2024 13:30;01.01.2024 13:45;2.331,00;2.665,50;334,50;137,75
01.01.2024 13:45;01.01.2024 14:00;2.319,50;2.632,25;312,75;147,25
01.01.2024 14:00;01.01.2024 14:15;2.327,25;2.531,50;204,25;223,00
01.01.2024 14:15;01.01.2024 14:30;2.328,00;2.502,00;174,00;270,50
01.01.2024 14:30;01.01.2024 14:45;2.331,50;2.412,25;80,75;323,75
01.01.2024 14:45;01.01.2024 15:00;2.333,75;2.409,50;75,75;360,25
01.01.2024 15:00;01.01.2024 15:15;2.350,00;2.488,25;138,25;431,25
01.01.2024 15:15;01.01.2024 15:30;2.361,00;2.439,25;78,25;458,00
01.01.2024 15:30;01.01.2024 15:45;2.353,25;2.427,50;74,25;521,75
01.01.2024 15:45;01.01.2024 16:00;2.367,00;2.441,00;74,00;612,25
01.01.2024 16:00;01.01.2024 16:15;2.417,50;2.470,75;53,25;697,50
01.01.2024 16:15;01.01.2024 16:30;2.477,00;2.482,50;5,50;724,00
01.01.2024 16:30;01.01.2024 16:45;2.524,00;2.526,75;2,75;722,50
01.01.2024 16:45;01.01.2024 17:00;2.551,50;2.554,00;2,50;710,50
01.01.2024 17:00;01.01.2024 17:15;2.593,50;2.596,25;2,75;699,75
01.01.2024 17:15;01.01.2024 17:30;2.616,50;2.617,75;1,25;702,00
01.01.2024 17:30;01.01.2024 17:45;2.639,50;2.640,75;1,25;713,25
01.01.2024 17:45;01.01.2024 18:00;2.667,50;2.668,75;1,25;727,75
01.01.2024 18:00;01.01.2024 18:15;2.655,50;2.655,50;0,00;700,00
01.01.2024 18:15;01.01.2024 18:30;2.650,75;2.650,75;0,00;675,75
01.01.2024 18:30;01.01.2024 18:45;2.628,50;2.628,50;0,00;634,50
01.01.2024 18:45;01.01.2024 19:00;2.629,75;2.629,75;0,00;630,25
01.01.2024 19:00;01.01.2024 19:15;2.629,75;2.631,25;1,50;654,00
01.01.2024 19:15;01.01.2024 19:30;2.617,50;2.619,75;2,25;608,50
01.01.2024 19:30;01.01.2024 19:45;2.594,50;2.597,00;2,50;572,00
01.01.2024 19:45;01.01.2024 20:00;2.567,00;2.569,50;2,50;573,00
01.01.2024 20:00;01.01.2024 20:15;2.539,00;2.541,50;2,50;524,00
01.01.2024 20:15;01.01.2024 20:30;2.491,50;2.494,25;2,75;482,25
01.01.2024 20:30;01.01.2024 20:45;2.476,00;2.478,75;2,75;445,00
01.01.2024 20:45;01.01.2024 21:00;2.438,50;2.441,00;2,50;392,00
01.01.2024 21:00;01.01.2024 21:15;2.423,25;2.424,50;1,25;391,25
01.01.2024 21:15;01.01.2024 21:30;2.404,25;2.405,50;1,25;398,25
01.01.2024 21:30;01.01.2024 21:45;2.400,25;2.402,00;1,75;438,50
01.01.2024 21:45;01.01.2024 22:00;2.381,00;2.382,50;1,50;440,50
01.01.2024 22:00;01.01.2024 22:15;2.384,50;2.388,25;3,75;499,75
01.01.2024 22:15;01.01.2024 22:30;2.354,00;2.416,50;62,50;481,00
01.01.2024 22:30;01.01.2024 22:45;2.320,25;2.326,00;5,75;468,25
01.01.2024 22:45;01.01.2024 23:00;2.306,25;2.446,25;140,00;512,00
01.01.2024 23:00;01.01.2024 23:15;2.268,00;2.412,00;144,00;513,50
01.01.2024 23:15;01.01.2024 23:30;2.238,25;2.422,25;184,00;538,50
01.01.2024 23:30;01.01.2024 23:45;2.207,75;2.332,25;124,50;530,50
01.01.2024 23:45;02.01.2024 00:00;2.164,25;2.359,00;194,75;547,25
02.01.2024 00:00;02.01.2024 00:15;2.134,50;2.270,50;136,00;567,75
02.01.2024 00:15;02.01.2024 00:30;2.096,25;2.222,75;126,50;574,00
02.01.2024 00:30;02.01.2024 00:45;2.076,25;2.234,50;158,25;586,50
02.01.2024 00:45;02.01.2024 01:00;2.056,75;2.204,00;147,25;618,75
02.01.2024 01:00;02.01.2024 01:15;2.049,75;2.206,75;157,00;661,00
02.01.2024 01:15;02.01.2024 01:30;2.032,75;2.237,50;204,75;689,00
02.01.2024 01:30;02.01.2024 01:45;2.016,25;2.222,00;205,75;723,75
02.01.2024 01:45;02.01.2024 02:00;2.005,75;2.273,50;267,75;755,50
02.01.2024 02:00;02.01.2024 02:15;2.013,25;2.282,75;269,50;768,75
02.01.2024 02:15;02.01.2024 02:30;2.001,25;2.333,50;332,25;817,50
02.01.2024 02:30;02.01.2024 02:45;1.989,75;2.367,75;378,00;837,25
02.01.2024 02:45;02.01.2024 03:00;1.997,75;2.376,50;378,75;872,75
02.01.2024 03:00;02.01.2024 03:15;1.997,25;2.375,50;378,25;882,00
02.01.2024 03:15;02.01.2024 03:30;2.007,25;2.386,00;378,75;884,25
02.01.2024 03:30;02.01.2024 03:45;2.007,50;2.385,25;377,75;892,50
02.01.2024 03:45;02.01.2024 04:00;2.014,50;2.347,00;332,50;902,50
02.01.2024 04:00;02.01.2024 04:15;2.053,75;2.381,75;328,00;928,75
02.01.2024 04:15;02.01.2024 04:30;2.053,50;2.400,50;347,00;903,50
02.01.2024 04:30;02.01.2024 04:45;2.070,25;2.405,25;335,00;891,50
02.01.2024 04:45;02.01.2024 05:00;2.105,25;2.330,00;224,75;883,25
02.01.2024 05:00;02.01.2024 05:15;2.163,25;2.325,00;161,75;913,00
02.01.2024 05:15;02.01.2024 05:30;2.190,00;2.349,25;159,25;893,25
02.01.2024 05:30;02.01.2024 05:45;2.230,25;2.389,75;159,50;881,25
02.01.2024 05:45;02.01.2024 06:00;2.298,00;2.457,75;159,75;894,50
02.01.2024 06:00;02.01.2024 06:15;2.381,75;2.549,25;167,50;908,00
02.01.2024 06:15;02.01.2024 06:30;2.443,50;2.605,00;161,50;937,50
02.01.2024 06:30;02.01.2024 06:45;2.492,25;2.550,50;58,25;924,25
02.01.2024 06:45;02.01.2024 07:00;2.565,75;2.616,75;51,00;960,50
02.01.2024 07:00;02.01.2024 07:15;2.665,50;2.672,00;6,50;1.020,75
02.01.2024 07:15;02.01.2024 07:30;2.744,75;2.746,50;1,75;1.060,25
02.01.2024 07:30;02.01.2024 07:45;2.790,25;2.790,50;0,25;1.074,50
02.01.2024 07:45;02.01.2024 08:00;2.856,25;2.856,50;0,25;1.068,25
02.01.2024 08:00;02.01.2024 08:15;2.885,25;2.885,50;0,25;1.058,00
02.01.2024 08:15;02.01.2024 08:30;2.931,00;2.931,25;0,25;1.066,50
02.01.2024 08:30;02.01.2024 08:45;2.978,50;2.978,75;0,25;1.067,50
02.01.2024 08:45;02.01.2024 09:00;2.989,00;2.989,00;0,00;1.040,25
02.01.2024 09:00;02.01.2024 09:15;3.008,25;3.008,25;0,00;1.050,25
02.01.2024 09:15;02.01.2024 09:30;3.035,00;3.035,00;0,00;1.066,25
02.01.2024 09:30;02.01.2024 09:45;3.069,50;3.069,50;0,00;1.089,00
02.01.2024 09:45;02.01.2024 10:00;3.089,50;3.089,50;0,00;1.081,00
02.01.2024 10:00;02.01.2024 10:15;3.116,50;3.117,50;1,00;1.091,00
02.01.2024 10:15;02.01.2024 10:30;3.146,25;3.146,50;0,25;1.089,50
02.01.2024 10:30;02.01.2024 10:45;3.168,25;3.168,50;0,25;1.067,00
02.01.2024 10:45;02.01.2024 11:00;3.201,75;3.202,00;0,25;1.059,50
02.01.2024 11:00;02.01.2024 11:15;3.240,25;3.240,50;0,25;1.085,25
02.01.2024 11:15;02.01.2024 11:30;3.254,00;3.254,25;0,25;1.102,50
02.01.2024 11:30;02.01.2024 11:45;3.302,75;3.303,00;0,25;1.133,75
02.01.2024 11:45;02.01.2024 12:00;3.283,50;3.283,75;0,25;1.136,00
02.01.2024 12:00;02.01.2024 12:15;3.274,75;3.275,00;0,25;1.160,50
02.01.2024 12:15;02.01.2024 12:30;3.293,50;3.293,75;0,25;1.192,25
02.01.2024 12:30;02.01.2024 12:45;3.312,50;3.312,75;0,25;1.216,25
02.01.2024 12:45;02.01.2024 13:00;3.306,00;3.306,25;0,25;1.213,50
02.01.2024 13:00;02.01.2024 13:15;3.309,50;3.309,75;0,25;1.230,25
02.01.2024 13:15;02.01.2024 13:30;3.282,00;3.282,50;0,50;1.201,75
02.01.2024 13:30;02.01.2024 13:45;3.303,00;3.303,25;0,25;1.206,50
02.01.2024 13:45;02.01.2024 14:00;3.306,25;3.306,75;0,50;1.201,50
02.01.2024 14:00;02.01.2024 14:15;3.309,00;3.309,25;0,25;1.195,00
02.01.2024 14:15;02.01.2024 14:30;3.345,00;3.345,25;0,25;1.237,50
02.01.2024 14:30;02.01.2024 14:45;3.353,75;3.354,00;0,25;1.252,50
02.01.2024 14:45;02.01.2024 15:00;3.361,25;3.361,50;0,25;1.255,75
02.01.2024 15:00;02.01.2024 15:15;3.397,25;3.397,25;0,00;1.297,75
02.01.2024 15:15;02.01.2024 15:30;3.407,00;3.407,00;0,00;1.333,00
02.01.2024 15:30;02.01.2024 15:45;3.406,25;3.406,25;0,00;1.351,50
02.01.2024 15:45;02.01.2024 16:00;3.409,50;3.409,50;0,00;1.341,25
02.01.2024 16:00;02.01.2024 16:15;3.444,75;3.444,75;0,00;1.348,75
02.01.2024 16:15;02.01.2024 16:30;3.498,50;3.498,50;0,00;1.386,50
02.01.2024 16:30;02.01.2024 16:45;3.516,50;3.516,50;0,00;1.359,50
02.01.2024 16:45;02.01.2024 17:00;3.540,25;3.540,25;0,00;1.318,75
02.01.2024 17:00;02.01.2024 17:15;3.533,00;3.533,00;0,00;1.264,50
02.01.2024 17:15;02.01.2024 17:30;3.575,50;3.575,50;0,00;1.297,25
02.01.2024 17:30;02.01.2024 17:45;3.602,50;3.602,50;0,00;1.317,75
02.01.2024 17:45;02.01.2024 18:00;3.626,25;3.626,25;0,00;1.336,00
02.01.2024 18:00;02.01.2024 18:15;3.598,75;3.598,75;0,00;1.280,00
02.01.2024 18:15;02.01.2024 18:30;3.583,75;3.583,75;0,00;1.255,25
02.01.2024 18:30;02.01.2024 18:45;3.594,00;3.594,00;0,00;1.242,00
02.01.2024 18:45;02.01.2024 19:00;3.582,50;3.582,50;0,00;1.198,25
02.01.2024 19:00;02.01.2024 19:15;3.521,75;3.521,75;0,00;1.115,75
02.01.2024 19:15;02.01.2024 19:30;3.497,25;3.497,25;0,00;1.083,50
02.01.2024 19:30;02.01.2024 19:45;3.458,50;3.458,75;0,25;1.033,00
02.01.2024 19:45;02.01.2024 20:00;3.437,25;3.437,50;0,25;1.013,50
02.01.2024 20:00;02.01.2024 20:15;3.389,75;3.390,75;1,00;936,25
02.01.2024 20:15;02.01.2024 20:30;3.328,50;3.374,25;45,75;842,25
02.01.2024 20:30;02.01.2024 20:45;3.287,25;3.386,75;99,50;792,00
02.01.2024 20:45;02.01.2024 21:00;3.274,75;3.490,25;215,50;760,25
02.01.2024 21:00;02.01.2024 21:15;3.207,50;3.367,50;160,00;662,00
02.01.2024 21:15;02.01.2024 21:30;3.162,50;3.370,25;207,75;597,50
02.01.2024 21:30;02.01.2024 21:45;3.119,50;3.327,25;207,75;540,50
02.01.2024 21:45;02.01.2024 22:00;3.101,00;3.313,00;212,00;520,00
02.01.2024 22:00;02.01.2024 22:15;3.069,50;3.368,50;299,00;462,50
02.01.2024 22:15;02.01.2024 22:30;3.020,00;3.326,75;306,75;378,75
02.01.2024 22:30;02.01.2024 22:45;2.976,25;3.282,75;306,50;267,50
02.01.2024 22:45;02.01.2024 23:00;2.963,50;3.270,75;307,25;230,25
02.01.2024 23:00;02.01.2024 23:15;2.919,00;3.273,00;354,00;115,00
02.01.2024 23:15;02.01.2024 23:30;2.863,25;3.217,75;354,50;2,75
02.01.2024 23:30;02.01.2024 23:45;2.836,75;3.190,75;354,00;-38,75
02.01.2024 23:45;03.01.2024 00:00;2.821,50;3.176,75;355,25;-49,75
03.01.2024 00:00;03.01.2024 00:15;2.684,00;3.079,75;395,75;-92,50
03.01.2024 00:15;03.01.2024 00:30;2.629,75;3.058,50;428,75;-127,00
03.01.2024 00:30;03.01.2024 00:45;2.603,75;3.022,75;419,00;-172,75
03.01.2024 00:45;03.01.2024 01:00;2.602,25;3.036,25;434,00;-190,25
03.01.2024 01:00;03.01.2024 01:15;2.553,25;3.034,25;481,00;-259,75
03.01.2024 01:15;03.01.2024 01:30;2.523,50;3.004,50;481,00;-313,75
03.01.2024 01:30;03.01.2024 01:45;2.499,00;2.979,50;480,50;-337,50
03.01.2024 01:45;03.01.2024 02:00;2.499,75;2.975,75;476,00;-347,50
03.01.2024 02:00;03.01.2024 02:15;2.498,00;2.966,75;468,75;-392,75
03.01.2024 02:15;03.01.2024 02:30;2.480,00;2.959,50;479,50;-452,25
03.01.2024 02:30;03.01.2024 02:45;2.482,75;2.961,50;478,75;-471,00
03.01.2024 02:45;03.01.2024 03:00;2.491,75;2.970,00;478,25;-474,50
03.01.2024 03:00;03.01.2024 03:15;2.489,00;2.966,00;477,00;-454,50
03.01.2024 03:15;03.01.2024 03:30;2.511,00;2.988,25;477,25;-406,75
03.01.2024 03:30;03.01.2024 03:45;2.498,00;2.974,50;476,50;-466,00
03.01.2024 03:45;03.01.2024 04:00;2.511,25;2.987,50;476,25;-484,25
03.01.2024 04:00;03.01.2024 04:15;2.557,50;3.019,00;461,50;-445,75
03.01.2024 04:15;03.01.2024 04:30;2.578,75;3.039,00;460,25;-454,75
03.01.2024 04:30;03.01.2024 04:45;2.624,25;3.084,00;459,75;-425,25
03.01.2024 04:45;03.01.2024 05:00;2.649,50;3.109,25;459,75;-443,75
03.01.2024 05:00;03.01.2024 05:15;2.706,25;3.165,50;459,25;-398,00
03.01.2024 05:15;03.01.2024 05:30;2.725,50;3.184,50;459,00;-364,25
03.01.2024 05:30;03.01.2024 05:45;2.806,50;3.263,75;457,25;-349,25
03.01.2024 05:45;03.01.2024 06:00;2.837,25;3.294,00;456,75;-350,00
03.01.2024 06:00;03.01.2024 06:15;3.057,00;3.513,50;456,50;-374,00
03.01.2024 06:15;03.01.2024 06:30;3.138,00;3.593,00;455,00;-356,50
03.01.2024 06:30;03.01.2024 06:45;3.186,75;3.585,75;399,00;-353,50
03.01.2024 06:45;03.01.2024 07:00;3.233,75;3.582,00;348,25;-314,25
03.01.2024 07:00;03.01.2024 07:15;3.308,25;3.571,00;262,75;-257,50
03.01.2024 07:15;03.01.2024 07:30;3.411,25;3.597,00;185,75;-170,25
03.01.2024 07:30;03.01.2024 07:45;3.469,50;3.546,00;76,50;-163,50
03.01.2024 07:45;03.01.2024 08:00;3.507,25;3.577,00;69,75;-131,00
03.01.2024 08:00;03.01.2024 08:15;3.513,00;3.561,25;48,25;-101,50
03.01.2024 08:15;03.01.2024 08:30;3.542,50;3.548,50;6,00;-55,00
03.01.2024 08:30;03.01.2024 08:45;3.556,25;3.557,75;1,50;-29,50
03.01.2024 08:45;03.01.2024 09:00;3.581,25;3.582,25;1,00;-17,50
03.01.2024 09:00;03.01.2024 09:15;3.573,25;3.573,75;0,50;-68,25
03.01.2024 09:15;03.01.2024 09:30;3.605,75;3.606,25;0,50;-100,25
03.01.2024 09:30;03.01.2024 09:45;3.617,00;3.617,50;0,50;-158,75
03.01.2024 09:45;03.01.2024 10:00;3.617,00;3.617,50;0,50;-254,50
03.01.2024 10:00;03.01.2024 10:15;3.652,25;3.652,75;0,50;-251,25
03.01.2024 10:15;03.01.2024 10:30;3.649,75;3.651,50;1,75;-246,00
03.01.2024 10:30;03.01.2024 10:45;3.659,25;3.717,75;58,50;-252,00
03.01.2024 10:45;03.01.2024 11:00;3.667,50;3.738,25;70,75;-213,75
03.01.2024 11:00;03.01.2024 11:15;3.697,75;3.748,00;50,25;-194,50
03.01.2024 11:15;03.01.2024 11:30;3.713,75;3.784,00;70,25;-249,50
03.01.2024 11:30;03.01.2024 11:45;3.698,25;3.769,00;70,75;-282,50
03.01.2024 11:45;03.01.2024 12:00;3.706,25;3.777,00;70,75;-251,75
03.01.2024 12:00;03.01.2024 12:15;3.676,75;3.763,75;87,00;-250,00
03.01.2024 12:15;03.01.2024 12:30;3.677,25;3.818,75;141,50;-276,50
03.01.2024 12:30;03.01.2024 12:45;3.632,25;3.802,00;169,75;-313,75
03.01.2024 12:45;03.01.2024 13:00;3.631,75;3.775,50;143,75;-296,50
03.01.2024 13:00;03.01.2024 13:15;3.610,75;3.797,00;186,25;-280,00
03.01.2024 13:15;03.01.2024 13:30;3.608,75;3.776,75;168,00;-259,00
03.01.2024 13:30;03.01.2024 13:45;3.596,25;3.732,25;136,00;-229,25
03.01.2024 13:45;03.01.2024 14:00;3.558,00;3.691,25;133,25;-234,50
03.01.2024 14:00;03.01.2024 14:15;3.561,75;3.797,50;235,75;-197,50
03.01.2024 14:15;03.01.2024 14:30;3.541,50;3.658,50;117,00;-107,00
03.01.2024 14:30;03.01.2024 14:45;3.556,25;3.633,25;77,00;-11,00
03.01.2024 14:45;03.01.2024 15:00;3.521,75;3.584,00;62,25;52,25
03.01.2024 15:00;03.01.2024 15:15;3.496,50;3.735,25;238,75;128,50
03.01.2024 15:15;03.01.2024 15:30;3.449,25;3.552,75;103,50;165,00
03.01.2024 15:30;03.01.2024 15:45;3.430,25;3.481,50;51,25;197,50
03.01.2024 15:45;03.01.2024 16:00;3.428,00;3.434,75;6,75;223,75
03.01.2024 16:00;03.01.2024 16:15;3.468,00;3.468,75;0,75;313,00
03.01.2024 16:15;03.01.2024 16:30;3.442,75;3.443,00;0,25;379,50
03.01.2024 16:30;03.01.2024 16:45;3.483,25;3.483,50;0,25;513,25
03.01.2024 16:45;03.01.2024 17:00;3.554,00;3.554,25;0,25;596,50
03.01.2024 17:00;03.01.2024 17:15;3.653,50;3.653,75;0,25;708,75
03.01.2024 17:15;03.01.2024 17:30;3.674,00;3.674,25;0,25;742,25
03.01.2024 17:30;03.01.2024 17:45;3.678,50;3.678,75;0,25;762,00
03.01.2024 17:45;03.01.2024 18:00;3.698,75;3.698,75;0,00;770,00
03.01.2024 18:00;03.01.2024 18:15;3.674,25;3.674,25;0,00;720,75
03.01.2024 18:15;03.01.2024 18:30;3.659,75;3.659,75;0,00;671,25
03.01.2024 18:30;03.01.2024 18:45;3.662,25;3.662,25;0,00;677,75
03.01.2024 18:45;03.01.2024 19:00;3.689,75;3.689,75;0,00;703,50
03.01.2024 19:00;03.01.2024 19:15;3.645,25;3.645,25;0,00;691,50
03.01.2024 19:15;03.01.2024 19:30;3.620,50;3.620,50;0,00;711,75
03.01.2024 19:30;03.01.2024 19:45;3.581,00;3.581,00;0,00;716,50
03.01.2024 19:45;03.01.2024 20:00;3.539,75;3.539,75;0,00;714,50
03.01.2024 20:00;03.01.2024 20:15;3.471,00;3.471,00;0,00;697,25
03.01.2024 20:15;03.01.2024 20:30;3.441,00;3.441,00;0,00;676,00
03.01.2024 20:30;03.01.2024 20:45;3.365,00;3.365,00;0,00;605,00
03.01.2024 20:45;03.01.2024 21:00;3.314,00;3.314,00;0,00;560,75
03.01.2024 21:00;03.01.2024 21:15;3.275,25;3.275,50;0,25;492,25
03.01.2024 21:15;03.01.2024 21:30;3.213,50;3.213,75;0,25;457,50
03.01.2024 21:30;03.01.2024 21:45;3.160,50;3.164,00;3,50;402,25
03.01.2024 21:45;03.01.2024 22:00;3.128,00;3.173,25;45,25;393,25
03.01.2024 22:00;03.01.2024 22:15;3.085,50;3.088,50;3,00;397,00
03.01.2024 22:15;03.01.2024 22:30;3.027,75;3.033,00;5,25;361,25
03.01.2024 22:30;03.01.2024 22:45;2.952,50;2.999,00;46,50;280,50
03.01.2024 22:45;03.01.2024 23:00;2.926,25;3.038,00;111,75;266,75
03.01.2024 23:00;03.01.2024 23:15;2.905,00;2.916,50;11,50;247,50
03.01.2024 23:15;03.01.2024 23:30;2.866,25;2.921,75;55,50;210,25
03.01.2024 23:30;03.01.2024 23:45;2.816,00;2.928,75;112,75;145,00
03.01.2024 23:45;04.01.2024 00:00;2.792,00;2.970,25;178,25;105,00
04.01.2024 00:00;04.01.2024 00:15;2.767,50;3.059,50;292,00;87,00
04.01.2024 00:15;04.01.2024 00:30;2.734,25;3.140,50;406,25;92,50
04.01.2024 00:30;04.01.2024 00:45;2.715,00;3.163,25;448,25;98,50
04.01.2024 00:45;04.01.2024 01:00;2.647,75;3.112,50;464,75;58,25
04.01.2024 01:00;04.01.2024 01:15;2.639,75;3.105,75;466,00;53,00
04.01.2024 01:15;04.01.2024 01:30;2.605,25;3.068,25;463,00;21,75
04.01.2024 01:30;04.01.2024 01:45;2.637,75;3.105,25;467,50;33,50
04.01.2024 01:45;04.01.2024 02:00;2.593,00;3.062,25;469,25;-15,25
04.01.2024 02:00;04.01.2024 02:15;2.562,75;3.031,50;468,75;-33,00
04.01.2024 02:15;04.01.2024 02:30;2.568,75;3.036,75;468,00;-72,50
04.01.2024 02:30;04.01.2024 02:45;2.590,75;3.058,25;467,50;-62,00
04.01.2024 02:45;04.01.2024 03:00;2.594,00;3.061,25;467,25;-30,00
04.01.2024 03:00;04.01.2024 03:15;2.586,00;3.051,75;465,75;-48,00
04.01.2024 03:15;04.01.2024 03:30;2.590,75;3.056,75;466,00;-61,25
04.01.2024 03:30;04.01.2024 03:45;2.629,25;3.094,50;465,25;-37,00
04.01.2024 03:45;04.01.2024 04:00;2.639,00;3.103,75;464,75;-30,50
04.01.2024 04:00;04.01.2024 04:15;2.653,50;3.103,00;449,50;-69,75
04.01.2024 04:15;04.01.2024 04:30;2.703,00;3.151,50;448,50;-85,75
04.01.2024 04:30;04.01.2024 04:45;2.732,00;3.180,25;448,25;-98,25
04.01.2024 04:45;04.01.2024 05:00;2.771,50;3.219,00;447,50;-113,50
04.01.2024 05:00;04.01.2024 05:15;2.830,00;3.276,75;446,75;-138,50
04.01.2024 05:15;04.01.2024 05:30;2.864,50;3.310,25;445,75;-141,00
04.01.2024 05:30;04.01.2024 05:45;2.938,75;3.379,50;440,75;-121,50
04.01.2024 05:45;04.01.2024 06:00;2.989,50;3.424,50;435,00;-65,50
04.01.2024 06:00;04.01.2024 06:15;3.065,00;3.457,75;392,75;34,50
04.01.2024 06:15;04.01.2024 06:30;3.161,00;3.497,25;336,25;144,00
04.01.2024 06:30;04.01.2024 06:45;3.186,00;3.327,75;141,75;145,00
04.01.2024 06:45;04.01.2024 07:00;3.277,75;3.340,50;62,75;218,50
04.01.2024 07:00;04.01.2024 07:15;3.398,75;3.456,25;57,50;262,25
04.01.2024 07:15;04.01.2024 07:30;3.473,75;3.480,00;6,25;252,75
04.01.2024 07:30;04.01.2024 07:45;3.507,50;3.508,25;0,75;296,50
04.01.2024 07:45;04.01.2024 08:00;3.593,00;3.595,00;2,00;327,75
04.01.2024 08:00;04.01.2024 08:15;3.668,75;3.714,25;45,50;359,50
04.01.2024 08:15;04.01.2024 08:30;3.701,50;3.705,75;4,25;379,00
04.01.2024 08:30;04.01.2024 08:45;3.712,75;3.713,50;0,75;395,25
04.01.2024 08:45;04.01.2024 09:00;3.680,50;3.681,00;0,50;327,25
04.01.2024 09:00;04.01.2024 09:15;3.712,25;3.712,75;0,50;276,25
